Variable_Type,Dependent_Variable_Index,Most_Influential_PCA_Component,Max_Coefficient,Mean_Coefficient,Std_Coefficient,Coefficient_Value_1,Coefficient_Value_2,Coefficient_Value_3,Coefficient_Value_4,Coefficient_Value_5,Coefficient_Value_6,Coefficient_Value_7,Coefficient_Value_8,Coefficient_Value_9,Coefficient_Value_10,Coefficient_Value_11,Coefficient_Value_12,Coefficient_Value_13,Coefficient_Value_14,Coefficient_Value_15,Coefficient_Value_16
Curvatures,50,0,0.029644531856856608,0.010917752145101847,0.008202314197271219,0.029644531856856608,0.011984893832408017,0.0021621260315907217,0.012181230095111394,0.004791435348011233,0.017697987720539862,0.023912076487648457,0.00016242230389676055,0.017756092041641452,0.003799050807671408,0.007851243946052917,0.007359005417947008,0.014365566011368108,0.0019294242821361906,0.01512757060764172,0.003959377531107674
Curvatures,51,0,0.032054886915532474,0.008636543501380184,0.008158634710960911,0.032054886915532474,0.0006155781224970878,0.00222913986098859,0.011008939075217605,0.007275444312303113,0.008653822688444335,0.022604077103856833,0.008644034460721567,0.008470979604948178,0.0018777902962476205,0.0028524311224429936,0.0034473008905274325,0.003640963875604536,0.002313017196852053,0.007787341178110954,0.014708949317787563
Curvatures,52,0,0.027484077256436965,0.008856944871549092,0.008156049052652027,0.027484077256436965,0.00909411740862297,0.0006984248011171447,0.009065654318023041,0.019030040170967825,0.0005507065378977118,0.01822473917177147,0.009508254298548315,0.0016814344566949081,0.0006150214845481875,0.0004099696133111955,0.012848207785252664,0.004976596402806844,0.009077466191251845,5.890445542339099e-05,0.018387503592110988
Curvatures,53,0,0.024172924014186466,0.011181959630811813,0.006022989533039987,0.024172924014186466,0.011958907351725334,0.006356226116115213,0.011628590267362982,0.02160845729673306,0.007562473520954175,0.010733847674808478,0.0056524642596218,0.009250539754877196,0.0025156032869417433,0.004933594007757324,0.018643118759471677,0.007567680794307089,0.01293996838196305,0.006963056003725644,0.016423902602437767
Curvatures,54,0,0.02515012940637921,0.011010487044081951,0.005953463637875257,0.02515012940637921,0.009779611885895188,0.010615530235085492,0.01473803052997225,0.016408395962519327,0.007101877029059417,0.003879826894623888,0.0004109723551648419,0.01628758191305383,0.004315733360692972,0.007939708803132488,0.01846523591896784,0.008601025741691934,0.01114153599962842,0.010303081815004445,0.011029514854439672
Curvatures,55,0,0.028769748597069343,0.009653834575368989,0.007178715043214016,0.028769748597069343,0.0031168349855351827,0.013110758153808886,0.017927576946745453,0.009528824205344861,0.0009403309358131971,7.348479293489453e-05,0.0070940884970789354,0.01823348133547117,0.003950821814205741,0.009895671000839903,0.013583134731003284,0.005413605585584405,0.005782230779251457,0.010027112222926042,0.00701364862229105
Curvatures,56,0,0.03402322483192453,0.009221326338954977,0.008005230849603613,0.03402322483192453,0.004950447801937276,0.009286034086249857,0.017271999534471026,0.004766792502333102,0.0018095222476735345,0.004636296240211704,0.012544347975272395,0.017783296735072233,0.004434848473666718,0.011324145166289124,0.006962393984646918,0.0030691763191138055,0.0013857965570925434,0.007660836805975894,0.005632062161348973
Curvatures,57,0,0.0365298944566817,0.008453891759858969,0.008467054657773617,0.0365298944566817,0.010096828718515242,0.0016586307500047253,0.012504841094277146,0.0034077505440967735,0.0013355641134490898,0.004948294231476482,0.012466524354526736,0.01549702517708409,0.004503178546176173,0.01157435625493162,0.0012693605467441165,0.003177888409744902,0.0073339321127547895,0.003549686330052877,0.005408512517227058
Curvatures,58,0,0.03629003586855135,0.00910218348929757,0.007836080674824102,0.03629003586855135,0.011308111492794544,0.00923172437551712,0.009204325951324427,0.005531174251161519,0.0021073761177832135,0.003643519054614065,0.009243668978070182,0.013308193810007633,0.006267823971401512,0.012309933355678253,0.005239941448225987,0.00444428713289861,0.010726533165795532,0.0016066465571488498,0.005171640297788307
Curvatures,59,0,0.03678056367495632,0.009922206261004967,0.008526237774475065,0.03678056367495632,0.007157531381277156,0.022726894629952234,0.008916200669019018,0.006322446827743445,0.007256143528737685,0.0023581600764858725,0.0037824810177207275,0.010126045767536276,0.010375252980292215,0.013202614568532748,0.0037972037026390267,0.005117755249252754,0.013003143291931548,0.0032284975784188,0.004604365231583635
